#Data fitted with model: Rod_Sphere on Sun Nov 12 10:58:21 2017
#[[Fit Statistics]]
#    # function evals   = 18
#    # data points      = 855
#    # variables        = 2
#    chi-square         = 3.608
#    reduced chi-square = 0.004
#    Akaike info crit   = -4671.179
#    Bayesian info crit = -4661.676
#[[Variables]]
#    R:      12 (fixed)
#    Rsig:   0.22120904 +/- 0.001440 (0.65%) (init= 0.1563)
#    qc:     0.001 (fixed)
#    norm:   2.9143e-07 +/- 1.50e-09 (0.52%) (init= 2.198e-07)
#    bkg:    0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(Rsig, norm)                = -0.926 
#x 	 y	 yerr 	 yfit
5.750000000000000250e-02 1.088200000000000001e-01 2.886800000000000130e-02 1.101073531029888031e-01
5.779999999999999721e-02 1.087899999999999978e-01 2.851300000000000015e-02 1.098976691607603945e-01
5.800000000000000294e-02 1.068199999999999983e-01 2.851599999999999968e-02 1.097575035500470975e-01
5.829999999999999766e-02 1.069100000000000050e-01 2.843700000000000047e-02 1.095466947391919021e-01
5.859999999999999931e-02 1.044199999999999989e-01 2.812900000000000122e-02 1.093352183585731968e-01
5.890000000000000097e-02 1.051300000000000012e-01 2.772499999999999964e-02 1.091230799351625425e-01
5.920000000000000262e-02 1.046600000000000030e-01 2.735399999999999984e-02 1.089102850065602202e-01
5.949999999999999734e-02 1.073599999999999971e-01 2.759400000000000047e-02 1.086968391207018131e-01
5.970000000000000306e-02 1.085799999999999960e-01 2.798199999999999993e-02 1.085541829648191542e-01
5.999999999999999778e-02 1.103800000000000059e-01 2.884000000000000105e-02 1.083396645060930030e-01
6.029999999999999943e-02 1.089699999999999974e-01 2.898200000000000082e-02 1.081245099329190135e-01
6.060000000000000109e-02 1.080200000000000049e-01 2.816600000000000006e-02 1.079087248286440676e-01
6.090000000000000274e-02 1.061300000000000021e-01 2.776500000000000148e-02 1.076923147856023583e-01
6.110000000000000153e-02 1.038499999999999979e-01 2.807700000000000126e-02 1.075476970009651978e-01
6.140000000000000319e-02 1.028199999999999947e-01 2.844299999999999953e-02 1.073302578442300315e-01
6.169999999999999790e-02 1.013399999999999995e-01 2.842700000000000088e-02 1.071122087033974102e-01
6.199999999999999956e-02 9.957199999999999385e-02 2.820500000000000090e-02 1.068935552013315360e-01
6.230000000000000121e-02 1.055999999999999994e-01 2.800700000000000064e-02 1.066743029685682659e-01
6.250000000000000000e-02 1.126400000000000040e-01 2.820800000000000043e-02 1.065278049690945306e-01
6.279999999999999472e-02 1.123200000000000032e-01 2.819899999999999837e-02 1.063075673840946089e-01
6.310000000000000331e-02 1.094500000000000056e-01 2.809700000000000045e-02 1.060867461185564797e-01
6.339999999999999802e-02 1.095000000000000001e-01 2.808799999999999839e-02 1.058653468287777677e-01
6.370000000000000662e-02 1.081199999999999939e-01 2.818800000000000125e-02 1.056433751774414204e-01
6.389999999999999847e-02 1.078299999999999953e-01 2.817800000000000166e-02 1.054950788970695358e-01
6.419999999999999318e-02 1.087999999999999939e-01 2.812800000000000022e-02 1.052721659100252921e-01
6.450000000000000178e-02 1.089100000000000068e-01 2.778500000000000067e-02 1.050486956910634817e-01
6.479999999999999649e-02 1.131000000000000061e-01 2.787699999999999900e-02 1.048246739239617198e-01
6.510000000000000508e-02 1.123900000000000038e-01 2.775999999999999995e-02 1.046001062976226886e-01
6.529999999999999694e-02 1.105000000000000010e-01 2.768199999999999827e-02 1.044500941031405311e-01
6.560000000000000553e-02 1.097000000000000058e-01 2.740899999999999934e-02 1.042246293664893242e-01
6.590000000000000024e-02 1.112100000000000033e-01 2.756099999999999869e-02 1.039986339640421587e-01
6.619999999999999496e-02 1.145199999999999968e-01 2.783800000000000163e-02 1.037721136012220019e-01
