#Data fitted with model: Sphere on Wed Nov 29 15:38:36 2017
#[[Fit Statistics]]
#    # function evals   = 50
#    # data points      = 855
#    # variables        = 3
#    chi-square         = 17.066
#    reduced chi-square = 0.020
#    Akaike info crit   = -3340.458
#    Bayesian info crit = -3326.205
#[[Variables]]
#    R:        13.6698507 +/- 0.265657 (1.94%) (init= 10)
#    Rsig:     2.43814474 +/- 0.163070 (6.69%) (init= 2)
#    rhoc:     1 (fixed)
#    rhosol:   0 (fixed)
#    norm:     1.1850e-07 +/- 6.38e-09 (5.38%) (init= 2e-07)
#    bkg:      0 (fixed)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(R, norm)                   = -0.994 
#    C(R, Rsig)                   = -0.989 
#    C(Rsig, norm)                =  0.968 
#x 	 y	 yerr 	 yfit
4.120000000000000051e-02 1.066200000000000064e-01 2.852499999999999827e-02 1.196673969801683723e-01
4.150000000000000216e-02 1.076600000000000057e-01 2.874300000000000119e-02 1.195124693863181264e-01
4.179999999999999688e-02 1.127100000000000046e-01 2.865300000000000138e-02 1.193566050452026656e-01
4.200000000000000261e-02 1.170599999999999974e-01 2.876799999999999843e-02 1.192521769697523354e-01
4.229999999999999732e-02 1.218599999999999961e-01 2.914200000000000124e-02 1.190947599490066178e-01
4.259999999999999898e-02 1.224200000000000010e-01 2.939399999999999999e-02 1.189364164930474532e-01
4.290000000000000063e-02 1.216700000000000004e-01 2.957500000000000059e-02 1.187771505058952126e-01
4.320000000000000229e-02 1.184700000000000059e-01 2.890300000000000161e-02 1.186169659115212383e-01
4.349999999999999700e-02 1.180299999999999960e-01 2.894499999999999851e-02 1.184558666536981303e-01
4.370000000000000273e-02 1.185900000000000010e-01 2.903999999999999984e-02 1.183479609585640357e-01
4.399999999999999745e-02 1.203899999999999970e-01 2.908499999999999974e-02 1.181853460789018817e-01
4.429999999999999910e-02 1.202600000000000058e-01 2.873300000000000159e-02 1.180218271481769526e-01
4.460000000000000075e-02 1.151800000000000046e-01 2.852899999999999880e-02 1.178574081814741797e-01
4.490000000000000241e-02 1.136100000000000027e-01 2.867199999999999957e-02 1.176920932129720543e-01
4.510000000000000120e-02 1.163399999999999990e-01 2.852800000000000127e-02 1.175813874559587524e-01
4.540000000000000285e-02 1.189500000000000002e-01 2.858199999999999977e-02 1.174145881673391983e-01
4.569999999999999757e-02 1.150599999999999956e-01 2.848699999999999843e-02 1.172469037269084913e-01
4.599999999999999922e-02 1.096700000000000036e-01 2.822399999999999909e-02 1.170783382375386594e-01
4.630000000000000088e-02 1.116000000000000048e-01 2.844999999999999959e-02 1.169088958204741735e-01
4.649999999999999967e-02 1.147900000000000031e-01 2.888299999999999895e-02 1.167954490704786463e-01
4.680000000000000132e-02 1.164400000000000018e-01 2.912599999999999911e-02 1.166245543149836278e-01
4.710000000000000298e-02 1.155899999999999983e-01 2.913900000000000171e-02 1.164527937104118671e-01
4.739999999999999769e-02 1.153399999999999981e-01 2.929599999999999912e-02 1.162801714440336864e-01
4.769999999999999934e-02 1.147600000000000009e-01 2.910400000000000140e-02 1.161066917207583121e-01
4.789999999999999813e-02 1.156100000000000044e-01 2.932099999999999984e-02 1.159905642913811319e-01
4.819999999999999979e-02 1.141699999999999937e-01 2.922699999999999951e-02 1.158156648649245335e-01
4.850000000000000144e-02 1.146900000000000003e-01 2.894800000000000151e-02 1.156399192796869341e-01
4.880000000000000310e-02 1.126199999999999979e-01 2.877000000000000043e-02 1.154633318038906370e-01
4.909999999999999781e-02 1.100700000000000012e-01 2.832900000000000001e-02 1.152859067226508494e-01
4.929999999999999660e-02 1.103699999999999959e-01 2.817499999999999866e-02 1.151671601224854152e-01
4.959999999999999826e-02 1.144899999999999946e-01 2.797699999999999840e-02 1.149883486000227439e-01
4.989999999999999991e-02 1.138699999999999990e-01 2.800599999999999964e-02 1.148087109804509509e-01
5.020000000000000157e-02 1.116999999999999937e-01 2.815700000000000147e-02 1.146282516094428300e-01
5.050000000000000322e-02 1.106800000000000006e-01 2.828400000000000011e-02 1.144469748488073646e-01
5.079999999999999793e-02 1.086899999999999950e-01 2.822799999999999962e-02 1.142648850763261503e-01
5.099999999999999672e-02 1.069900000000000018e-01 2.801400000000000071e-02 1.141430423904527397e-01
5.129999999999999838e-02 1.034199999999999980e-01 2.768699999999999981e-02 1.139596073694939260e-01
5.160000000000000003e-02 1.038599999999999940e-01 2.826199999999999893e-02 1.137753710876122232e-01
5.190000000000000169e-02 1.096700000000000036e-01 2.847900000000000084e-02 1.135903379797480323e-01
5.220000000000000334e-02 1.111400000000000027e-01 2.851599999999999968e-02 1.134045124960448708e-01
5.240000000000000213e-02 1.110499999999999959e-01 2.848300000000000137e-02 1.132801908358569559e-01
5.269999999999999685e-02 1.125199999999999950e-01 2.848900000000000043e-02 1.130930546557290112e-01
5.299999999999999850e-02 1.086700000000000027e-01 2.833099999999999855e-02 1.129051380398728710e-01
5.330000000000000016e-02 1.060900000000000037e-01 2.800899999999999918e-02 1.127164454927520043e-01
5.360000000000000181e-02 1.071000000000000008e-01 2.758999999999999994e-02 1.125269815332543694e-01
5.380000000000000060e-02 1.086799999999999988e-01 2.760500000000000106e-02 1.124002459024990158e-01
5.410000000000000225e-02 1.097100000000000020e-01 2.803999999999999895e-02 1.122095063363237749e-01
5.439999999999999697e-02 1.116499999999999992e-01 2.806200000000000014e-02 1.120180074773785839e-01
5.469999999999999862e-02 1.132699999999999957e-01 2.833199999999999955e-02 1.118257538959995523e-01
5.500000000000000028e-02 1.097199999999999981e-01 2.878500000000000156e-02 1.116327501761597008e-01
5.519999999999999907e-02 1.082300000000000068e-01 2.868400000000000116e-02 1.115036665558021001e-01
5.550000000000000072e-02 1.050600000000000006e-01 2.877199999999999896e-02 1.113094228283010717e-01
5.580000000000000238e-02 1.085200000000000053e-01 2.916300000000000142e-02 1.111144412516441027e-01
5.609999999999999709e-02 1.058800000000000019e-01 2.883199999999999999e-02 1.109187264583510052e-01
